DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-02-03,13.89,64.12,2.7,78.5,80.98,30736.02,18653.95,17049.37
2017-02-04,11.28,63.99,0.08,97.13,103.87,30666.61,17635.66,17805.59
2017-02-05,8.98,50.15,0.09,164.29,124.54,28260.04,16458.46,17380.58
2017-02-06,10.51,50.35,0.09,124.6,61.27,30540.64,18529.43,17080.36
2017-02-07,8.63,69.45,0.08,48.96,45.5,30711.86,18618.87,17078.67
2017-02-08,8.78,84.14,3.24,74.08,61.11,30636.53,18604.86,16994.21
2017-02-09,12.82,63.52,4.92,131.66,37.51,30714.03,18803.62,17037.95
2017-02-10,12.15,79.82,4.92,69.17,66.11,30708.98,19290.86,17219.14
2017-02-11,12.73,74.36,2.49,106.48,76.67,31052.67,18591.51,17523.34
2017-02-12,11.93,87.93,0.08,72.24,59.45,29977.54,17305.52,17726.99
2017-02-13,12.24,75.6,0.08,146.46,43.71,32350.51,19501.62,17409.93
2017-02-14,14.09,63.47,0.08,161.78,91.69,29677.84,20024.65,17169.21
2017-02-15,15.2,66.55,0.08,113.66,97.52,30919.07,19976.85,17535.76
2017-02-16,13.77,66.7,0.08,112.04,100.58,31357.97,20202.05,17506.05
2017-02-17,11.41,72.36,0.08,63.48,61.62,31651.27,19329.51,16930.09
2017-02-18,12.65,79.07,0.07,26.44,26.72,31432.37,18066.08,17323.18
2017-02-19,13.79,70.28,0.07,47.47,47.52,30051.06,18087.69,18063.8
2017-02-20,13.04,74.32,0.08,79.89,81.83,32140.25,20066.03,17588.86
2017-02-21,12.21,70.08,0.08,165.37,174.86,31934.03,19838.1,17231.88
2017-02-22,14.83,61.02,0.08,194.15,209.13,31783.05,19099.11,17468.9
2017-02-23,15.27,61.08,0.96,195.04,207.61,32610.42,18417.55,17771.3
2017-02-24,13.82,57.85,0.08,198.59,144.87,31259.96,19221.58,16684.98
2017-02-25,12.63,57.35,0.09,195.15,56.39,30633.77,18140.53,17267.46
2017-02-26,14.47,61.85,0.08,194.17,61.1,30008.01,17072.26,17222.91
2017-02-27,15.12,62.04,0.08,195.3,69.87,31352.12,19127.41,17041.45
2017-02-28,15.43,59.35,0.08,189.25,77.28,31179.36,19013.07,16922.29
2017-03-01,15.33,74.49,0.09,197.46,73.44,31144.89,18950.61,17079.52
2017-03-02,16.14,77.28,1.54,196.63,60.05,30991.91,19578.68,16982.58
2017-03-03,16.77,71.12,4.91,196.6,73.89,31079.96,19490.07,16922.9
2017-03-04,14.7,70.44,4.92,120.87,114.56,30998.13,17706.07,17185.12
2017-03-05,13.65,56.93,3.94,218.76,93.0,29519.11,16571.93,16760.0
2017-03-06,13.25,69.77,0.08,208.72,105.68,31990.72,19109.6,16710.6
2017-03-07,12.27,77.14,0.08,217.18,115.78,31124.38,19913.34,16801.69
2017-03-08,12.86,76.93,0.1,145.17,93.51,32636.0,18455.69,16775.81
2017-03-09,12.96,82.2,0.08,131.99,109.97,31187.74,19614.91,17182.5
2017-03-10,15.24,72.05,0.08,206.01,63.42,30931.91,19049.42,16890.36
2017-03-11,15.37,67.48,3.61,223.1,46.31,30939.49,17918.62,17900.0
2017-03-12,14.82,64.73,0.09,209.32,50.14,29463.57,16985.54,17666.05
2017-03-13,13.39,76.01,0.08,216.86,59.32,31480.85,18791.26,17280.32
2017-03-14,14.58,77.22,0.07,158.15,92.15,31078.3,19072.38,17504.35
2017-03-15,13.36,68.13,0.08,220.64,59.38,32479.83,19296.34,17111.85
2017-03-16,12.35,76.99,0.08,93.69,66.5,32600.34,19542.84,17367.98
2017-03-17,12.11,80.95,0.07,95.44,81.07,31442.38,18428.68,17264.88
2017-03-18,11.52,85.21,0.08,48.24,44.22,31103.91,17700.41,17142.66
2017-03-19,11.99,77.24,0.08,40.68,37.47,29831.4,16417.02,16793.99
2017-03-20,12.94,77.48,0.08,116.31,87.82,31133.7,19037.83,16666.21
2017-03-21,14.03,76.39,0.08,128.94,72.59,30730.13,18936.97,16676.49
2017-03-22,13.21,82.01,0.08,139.64,82.82,31426.47,19343.5,16467.22
2017-03-23,11.5,63.65,0.08,162.42,132.62,31182.3,18978.96,16733.47
2017-03-24,13.1,59.85,0.08,195.77,132.1,30556.43,18879.52,16342.22
2017-03-25,13.31,58.41,0.08,199.59,152.59,30270.81,17556.02,16589.84
2017-03-26,16.6,61.67,0.08,249.97,145.19,29538.38,15423.15,16496.45
2017-03-27,17.88,69.75,0.08,253.84,167.06,31709.79,17800.05,16966.77
2017-03-28,19.55,61.36,1.2,258.56,189.57,30837.53,18588.82,16843.43
2017-03-29,19.19,56.75,4.92,251.37,154.27,33045.02,17898.63,16576.21
2017-03-30,19.61,61.24,4.27,254.38,74.2,32051.4,18328.84,17300.44
2017-03-31,18.38,73.21,0.08,257.53,82.78,31303.32,18830.36,16396.33
2017-04-01,16.23,82.61,0.07,62.5,56.62,32420.58,15425.53,18278.67
2017-04-02,15.19,86.62,0.07,72.0,64.85,29012.96,14779.1,18370.91
2017-04-03,15.0,86.49,0.1,84.4,75.96,31676.47,17494.37,18513.05
2017-04-04,16.14,81.71,0.07,135.07,117.39,31584.24,17957.28,18729.29
2017-04-05,15.93,78.7,0.07,53.53,49.87,31660.02,17601.48,19076.69
2017-04-06,14.43,76.09,0.07,30.1,27.33,31913.97,17888.75,19365.7
2017-04-07,13.62,85.96,1.56,26.64,24.05,31597.72,17314.79,18862.87
2017-04-08,14.06,89.59,0.07,34.48,31.37,31266.18,16373.78,19213.41
2017-04-09,15.01,86.06,0.07,98.94,92.3,29716.34,15166.88,18714.63
2017-04-10,15.19,84.57,0.07,110.67,106.8,31240.86,17965.43,18655.07
2017-04-11,15.48,83.03,0.07,95.99,89.76,31511.3,17668.81,18576.08
2017-04-12,16.13,85.38,0.07,157.51,111.95,31536.15,17851.53,18605.01
2017-04-13,16.48,83.05,0.08,80.03,68.24,31604.05,17720.11,19337.7
2017-04-14,17.01,78.54,0.08,156.5,100.64,31284.05,17947.43,18489.98
2017-04-15,17.2,69.42,0.08,156.77,81.31,31056.79,17351.45,19180.36
2017-04-16,16.09,74.6,0.08,271.05,120.08,29239.35,15318.13,18885.58
2017-04-17,16.58,65.9,0.08,244.64,118.2,32091.88,17932.23,18716.48
2017-04-18,16.62,56.66,0.08,286.72,126.45,32152.77,18259.16,18576.28
2017-04-19,15.56,71.48,0.08,286.26,76.27,32190.83,18437.17,18638.02
2017-04-20,16.19,84.59,0.07,35.28,29.2,28433.24,21631.49,18881.29
2017-04-21,16.66,85.68,0.07,107.93,94.56,32530.76,17318.76,18333.21
2017-04-22,16.15,81.94,0.07,153.92,114.45,31427.77,17670.29,18822.91
2017-04-23,17.58,72.18,0.08,204.21,104.9,29384.2,15529.56,18247.88
2017-04-24,18.04,66.97,0.08,202.22,112.57,31442.07,18375.64,18183.76
2017-04-25,18.22,66.11,0.08,185.1,89.14,31831.26,18392.08,18364.16
2017-04-26,18.08,59.08,0.08,280.19,94.49,31789.45,18600.31,18363.52
2017-04-27,17.23,60.93,0.08,289.65,85.27,31668.72,19164.0,17868.89
2017-04-28,18.22,57.49,0.13,288.96,85.44,31550.23,20167.49,17670.22
2017-04-29,18.92,57.01,0.59,296.41,84.36,31390.14,18748.78,18323.68
2017-04-30,20.08,58.83,2.44,294.29,95.28,28888.7,16967.18,17949.74
2017-05-01,21.0,56.03,0.08,294.67,97.65,29366.47,17601.29,17447.25
2017-05-02,22.92,49.8,0.08,217.64,121.12,31934.34,19782.28,16943.16
2017-05-03,22.48,46.99,0.08,206.88,128.1,30554.67,20009.47,17051.46
2017-05-04,19.07,68.7,0.08,130.46,113.91,32105.7,20396.21,17297.17
2017-05-05,19.9,50.68,3.71,308.09,117.31,31792.26,20672.42,16813.89
2017-05-06,18.57,69.95,1.97,303.5,117.82,31787.45,19412.31,17513.85
2017-05-07,21.06,55.72,0.24,312.34,131.07,29499.19,17517.41,17297.33
2017-05-08,19.45,65.49,0.08,317.01,136.6,32498.97,20177.43,17445.75
2017-05-09,19.46,80.58,3.75,269.23,118.04,32179.85,20504.67,17297.85
2017-05-10,19.31,79.36,4.92,285.32,119.44,32841.62,20581.71,17334.62
2017-05-11,19.8,79.56,3.95,299.49,163.23,32754.45,20552.17,17366.8
2017-05-12,19.17,82.65,0.07,258.74,136.35,32365.73,20176.63,17098.1
2017-05-13,24.59,54.28,0.65,291.04,171.77,31987.93,18951.16,17795.95
2017-05-14,23.02,45.37,1.56,317.03,168.07,30132.55,17439.14,17549.15
2017-05-15,18.83,73.26,3.52,297.88,174.69,32627.23,20058.98,17815.38
2017-05-16,19.41,74.02,4.92,301.91,170.02,32700.24,20586.69,17632.75
2017-05-17,19.24,78.0,4.92,261.69,167.41,32651.37,20489.37,17666.44
2017-05-18,21.7,64.3,4.44,310.62,123.14,32719.48,20896.65,17704.17
2017-05-19,20.02,72.01,0.07,295.87,116.85,32147.58,20058.1,17124.7
2017-05-20,19.88,75.16,0.07,310.46,82.54,32090.49,19415.63,18027.89
2017-05-21,19.19,70.03,0.07,304.95,79.17,31507.06,17107.35,17591.01
2017-05-22,18.86,73.57,0.07,231.69,110.32,33288.92,20784.0,17287.33
2017-05-23,17.58,72.71,2.55,201.87,102.09,33497.44,20898.4,17763.4
2017-05-24,17.83,75.65,4.71,122.07,92.92,33169.57,20983.02,17525.22
2017-05-25,18.68,76.89,4.92,311.14,86.34,33610.93,20418.16,18073.6
2017-05-26,19.1,81.29,4.92,309.01,91.16,33875.5,21259.75,17674.9
2017-05-27,20.08,81.55,4.06,293.09,136.14,33967.56,20723.53,18332.71
2017-05-28,22.29,66.42,0.08,220.11,114.3,32540.68,19078.43,18413.68
2017-05-29,23.62,59.14,1.58,312.84,116.34,34164.02,20840.43,18523.68
2017-05-30,21.62,75.08,4.92,282.45,108.68,33927.08,20954.41,18385.95
2017-05-31,21.37,75.85,4.21,304.59,101.91,33989.95,20968.73,18458.99
2017-06-01,21.28,77.35,0.88,300.8,99.52,34350.55,21158.84,18727.38
2017-06-02,21.51,78.25,0.07,312.24,126.6,34905.96,20815.46,18479.79
2017-06-03,21.4,76.33,0.07,314.97,122.68,35975.36,20108.47,19207.47
2017-06-04,21.1,80.13,0.07,155.58,119.6,32234.7,18743.01,19195.12
2017-06-05,21.41,81.93,0.07,193.42,131.2,34450.07,20985.68,19198.61
2017-06-06,21.43,84.48,0.07,156.9,122.04,34280.09,21861.54,19352.33
2017-06-07,21.46,79.71,0.07,273.27,126.94,34332.54,21972.45,19240.82
2017-06-08,22.19,74.14,0.07,271.29,102.39,34885.12,21905.35,19279.26
2017-06-09,22.74,64.27,0.08,280.42,131.88,34901.63,20966.79,18792.49
2017-06-10,21.68,61.32,0.08,204.42,138.29,35553.82,18515.1,19443.77
2017-06-11,21.76,55.62,0.08,244.93,150.03,33096.16,18294.67,19450.5
2017-06-12,20.02,54.78,0.08,148.99,98.85,35526.18,20772.01,19470.07
2017-06-13,20.51,51.24,0.08,260.87,163.02,35300.66,21476.74,19538.38
2017-06-14,20.44,56.06,0.08,190.84,104.01,35106.93,22173.91,19761.85
2017-06-15,21.29,52.44,0.08,333.96,122.62,35532.98,21797.14,19967.84
2017-06-16,21.18,65.56,0.07,335.07,114.22,35390.38,22397.35,19830.36
2017-06-17,21.75,75.35,0.06,331.76,82.98,35335.98,20899.56,21546.91
2017-06-18,21.71,76.95,0.07,328.2,81.12,33874.88,19476.92,20589.66
2017-06-19,21.59,79.02,0.07,315.86,77.34,36308.96,22190.98,20817.85
2017-06-20,22.9,74.16,0.07,279.51,68.45,37031.79,21264.27,21107.61
2017-06-21,24.02,60.77,1.52,324.17,84.09,37331.48,21776.43,20733.99
2017-06-22,23.57,48.51,4.92,334.2,83.56,36639.21,22531.08,20866.3
2017-06-23,23.2,54.39,4.92,331.6,81.35,36932.36,21811.82,20837.95
2017-06-24,21.52,72.99,4.92,309.61,66.79,36645.3,19966.06,22132.23
2017-06-25,22.52,74.67,4.92,325.88,80.44,35451.66,19653.59,23210.99
2017-06-26,22.78,79.1,4.92,312.28,68.29,31291.66,17968.61,22729.56
2017-06-27,23.39,74.61,4.92,303.68,79.98,29103.66,17486.17,21924.02
2017-06-28,24.61,63.65,4.92,314.27,89.04,32082.47,20169.18,22212.47
2017-06-29,24.86,67.61,3.87,301.09,96.09,32148.08,20005.9,22661.33
2017-06-30,24.46,63.92,4.92,299.29,99.21,32165.61,20982.77,22621.33
2017-07-01,25.46,55.71,4.92,308.09,86.46,32224.63,21104.46,24162.38
2017-07-02,24.37,74.0,4.92,301.72,96.22,31603.81,19498.79,24409.37
2017-07-03,24.95,80.13,4.92,196.48,135.46,33872.96,22420.46,24423.64
2017-07-04,25.28,78.75,4.92,284.27,116.79,33084.08,23811.08,24873.1
2017-07-05,25.64,78.43,4.92,285.41,65.88,35379.09,22962.45,25060.67
2017-07-06,26.99,70.26,4.55,304.56,74.64,36044.96,22044.83,24744.94
2017-07-07,29.42,50.14,2.75,304.92,78.56,33831.36,23206.59,24549.92
2017-07-08,26.97,53.81,4.91,305.93,78.97,34662.9,22203.48,25836.4
2017-07-09,26.39,60.11,4.91,307.44,76.35,32541.35,20631.78,26615.65
2017-07-10,28.63,39.57,4.91,316.21,71.02,35854.75,24043.86,27280.0
2017-07-11,25.95,55.58,4.91,309.39,71.74,36514.6,24585.57,27623.35
2017-07-12,25.85,70.05,4.91,308.8,71.09,36926.78,24700.05,27997.57
2017-07-13,25.69,74.67,4.91,308.71,76.79,36768.95,24854.85,27606.57
2017-07-14,25.62,76.67,4.91,295.02,59.16,34508.35,23967.75,28225.61
2017-07-15,26.52,76.02,4.91,243.53,105.82,35529.13,23943.75,29449.29
2017-07-16,26.71,80.48,4.92,211.82,121.89,34962.35,21809.05,29578.45
2017-07-17,28.5,57.78,4.92,305.56,65.88,36876.99,24650.63,29239.21
2017-07-18,29.27,38.76,4.92,314.13,62.4,37241.51,25256.04,29595.94
2017-07-19,28.36,43.08,4.91,312.69,59.11,37845.98,24681.12,30371.76
2017-07-20,27.54,51.8,2.42,290.69,81.83,36726.73,24972.23,30074.9
2017-07-21,32.43,29.36,1.2,299.79,69.37,35487.97,24448.79,29318.49
2017-07-22,28.66,46.04,4.91,304.32,63.02,35269.5,24016.43,30545.77
2017-07-23,27.37,41.41,4.91,315.92,52.64,33720.31,22530.2,31252.76
2017-07-24,27.87,46.03,4.91,312.67,49.29,38043.32,28354.54,30630.0
2017-07-25,25.22,57.53,4.91,304.16,53.17,38449.92,26899.21,32700.21
2017-07-26,29.2,45.29,4.91,303.33,52.39,38169.61,26363.82,31872.05
2017-07-27,28.39,47.91,4.91,271.81,76.63,38322.57,26910.02,31783.18
2017-07-28,29.94,44.02,4.91,290.85,58.92,37912.82,26904.51,29974.31
2017-07-29,28.54,43.05,4.91,312.11,41.4,38000.84,25799.87,27693.18
2017-07-30,26.02,58.86,4.91,276.12,94.32,35813.95,24166.22,28235.9
2017-07-31,25.59,57.47,4.91,302.6,64.2,38586.09,26842.09,28292.89
2017-08-01,26.41,74.78,4.91,272.74,93.14,37677.47,25656.34,27036.74
2017-08-02,26.05,81.62,4.91,101.73,78.41,37194.63,25694.93,26051.66
2017-08-03,26.63,59.77,4.91,276.86,74.73,37220.24,26990.34,25631.68
2017-08-04,25.99,68.43,4.9,176.22,108.76,37330.48,27400.08,26643.39
2017-08-05,26.41,78.15,4.91,176.27,98.67,37556.76,26289.02,26805.48
2017-08-06,27.71,76.18,4.91,228.01,93.27,35093.63,24831.07,26840.13
2017-08-07,28.44,64.46,4.91,176.75,94.13,38162.71,27918.51,26911.01
2017-08-08,27.12,82.84,4.91,209.42,114.93,38733.5,27295.62,28017.55
2017-08-09,28.15,73.22,4.91,212.51,96.68,37142.42,27358.03,27310.09
2017-08-10,29.54,45.44,4.9,219.79,89.2,36886.88,26787.62,26917.58
2017-08-11,30.2,29.77,4.91,266.08,70.69,36716.94,26164.15,26341.86
2017-08-12,27.68,37.11,4.9,254.43,68.45,36136.83,25336.14,26971.24
2017-08-13,24.28,46.63,4.9,290.44,53.33,35035.78,23883.87,26443.26
2017-08-14,23.58,46.35,4.91,282.97,54.9,35866.37,24858.95,25483.51
2017-08-15,24.56,50.58,4.91,281.31,35.4,37270.32,25800.9,25503.11
2017-08-16,25.03,57.84,4.27,284.14,35.28,37440.71,25603.33,26307.54
2017-08-17,24.88,59.14,0.07,278.36,36.17,37974.16,26033.63,26247.86
2017-08-18,24.19,68.77,0.07,265.23,46.92,37316.8,25550.92,26394.82
2017-08-19,25.25,77.94,3.54,245.19,55.06,37128.92,24422.25,26611.37
2017-08-20,25.54,85.21,4.92,116.14,78.93,34785.57,22845.04,26054.0
2017-08-21,25.31,66.89,4.92,250.87,72.93,36030.5,23703.78,24599.25
2017-08-22,24.1,51.62,4.92,247.25,58.83,36551.74,24347.76,24079.92
2017-08-23,23.7,55.4,4.91,273.05,37.4,36662.11,24229.46,24051.58
2017-08-24,23.66,61.47,4.91,275.37,31.16,36685.73,23724.21,23141.99
2017-08-25,23.64,74.48,4.92,264.52,45.36,36104.2,23096.62,22677.2
2017-08-26,24.61,78.67,4.92,259.97,40.36,36206.88,22771.75,22244.31
2017-08-27,25.01,79.46,4.92,236.83,67.56,35153.92,21714.81,21369.15
2017-08-28,24.82,88.11,4.92,92.8,66.87,36161.47,22150.61,19365.6
2017-08-29,25.06,88.55,4.92,116.13,80.94,35246.35,21694.8,18224.99
2017-08-30,25.57,78.81,4.92,175.08,86.39,32954.5,20837.94,17351.72
2017-08-31,25.06,59.89,4.92,262.52,24.57,33062.38,19350.26,16486.14
2017-09-01,23.73,59.56,4.92,253.83,33.39,29503.89,16648.86,15470.85
2017-09-02,22.81,50.54,4.93,260.26,27.97,30945.0,17090.85,16712.07
2017-09-03,22.45,51.22,3.82,242.52,44.71,31516.59,17444.83,16778.26
2017-09-04,22.11,62.77,0.24,235.28,51.06,31898.19,18712.08,16164.17
2017-09-05,22.55,70.54,0.29,242.61,43.46,33401.19,18901.43,16140.14
2017-09-06,23.61,76.33,0.28,195.39,74.46,32435.62,20269.1,16458.06
2017-09-07,23.56,79.87,0.28,183.88,61.37,34517.48,21021.1,16530.62
2017-09-08,22.99,78.29,0.29,240.42,40.68,34321.64,21364.32,16478.2
2017-09-09,23.45,72.72,0.3,234.17,30.06,33690.04,20151.74,16255.65
2017-09-10,23.31,67.62,0.3,211.06,60.33,31890.18,19304.21,14040.78
2017-09-11,23.83,63.21,0.29,202.89,66.88,33868.27,21514.79,14081.06
2017-09-12,22.86,55.99,0.27,237.42,31.82,34891.46,21267.57,15199.31
2017-09-13,23.17,58.71,0.28,209.05,73.71,35385.09,22083.86,15593.26
2017-09-14,22.99,56.48,0.29,224.64,52.09,35559.65,22360.4,14826.27
2017-09-15,23.81,50.16,0.31,242.86,39.09,34246.02,21207.04,14909.7
2017-09-16,20.71,64.33,2.4,81.19,67.31,33550.66,19485.14,15131.4
2017-09-17,19.85,64.71,4.92,231.88,34.3,31889.34,17542.1,14585.86
2017-09-18,22.11,82.35,4.92,85.75,70.31,33455.93,20552.65,14153.46
2017-09-19,22.54,83.75,4.92,92.87,74.39,34008.98,20831.52,14443.47
2017-09-20,23.64,78.26,4.92,166.04,43.78,34025.13,20799.25,14035.79
2017-09-21,26.42,43.55,4.92,224.16,35.73,33684.12,20760.29,13943.62
2017-09-22,25.69,36.75,4.92,211.03,49.44,33303.63,19219.93,14289.77
2017-09-23,22.34,65.44,4.92,208.59,42.14,33858.27,19336.1,15090.46
2017-09-24,22.11,75.27,4.92,149.55,63.73,32220.75,18009.3,14365.39
2017-09-25,21.04,79.23,4.93,190.43,58.88,34550.27,20932.87,14114.89
2017-09-26,21.06,77.07,4.93,224.27,27.79,33527.57,21431.5,14560.78
2017-09-27,22.04,75.51,4.92,171.58,52.1,35228.45,21128.82,14423.74
2017-09-28,21.42,73.96,4.92,177.96,46.55,34705.93,23290.23,12443.72
2017-09-29,20.92,74.46,4.92,199.38,29.81,34351.5,22416.29,12431.87
2017-09-30,20.03,76.92,4.92,205.34,31.49,31469.6,20334.8,14031.34
2017-10-01,21.66,68.65,4.92,204.11,30.34,32340.0,17679.33,13566.77
2017-10-02,23.45,52.78,4.92,178.18,67.92,34033.0,20132.47,13620.06
2017-10-03,23.4,53.64,4.92,166.56,61.88,34406.87,20822.28,13484.78
2017-10-04,25.46,52.75,4.92,96.7,62.81,34055.23,21061.88,13614.47
2017-10-05,24.68,58.56,4.92,144.24,48.01,33524.77,22084.8,13883.93
2017-10-06,21.77,57.22,4.92,146.01,60.44,33514.49,21456.02,13731.83
2017-10-07,20.03,52.95,4.92,189.69,22.89,33944.33,20357.78,14167.78
2017-10-08,18.19,67.95,3.82,184.74,35.85,32635.89,18559.1,14192.1
2017-10-09,19.47,73.71,0.08,131.74,54.16,33787.0,20748.86,13952.66
2017-10-10,21.95,72.59,0.08,112.14,58.32,33500.7,21267.06,13610.17
2017-10-11,22.35,63.48,0.11,87.32,46.18,34249.41,21029.33,13815.08
2017-10-12,20.58,72.61,0.08,123.62,47.24,34645.21,21576.32,13828.21
2017-10-13,21.43,59.34,0.09,130.74,51.77,34045.95,21581.59,13389.02
2017-10-14,19.59,75.58,0.09,157.9,38.17,34079.69,21183.3,13478.42
2017-10-15,19.36,79.05,0.08,126.65,53.81,32785.51,18611.83,13393.6
2017-10-16,20.42,85.28,0.14,57.73,39.47,34242.19,21688.38,13256.21
2017-10-17,20.57,84.23,0.08,65.27,48.21,34570.2,21566.7,13126.48
2017-10-18,19.59,81.73,0.22,47.52,30.18,33808.75,22251.82,13350.64
2017-10-19,19.83,83.57,2.89,83.11,52.44,33550.33,21786.8,13589.26
2017-10-20,20.92,76.32,4.92,161.82,26.67,32973.3,21714.19,12526.36
2017-10-21,19.33,80.72,4.92,131.61,41.83,33065.12,21001.69,13083.81
2017-10-22,19.56,80.68,4.92,137.35,55.35,31885.82,18621.21,13026.06
2017-10-23,19.91,79.67,4.92,55.05,45.16,33245.6,21183.74,13219.66
2017-10-24,19.82,76.22,4.92,102.08,67.76,33586.52,21731.56,12999.03
2017-10-25,20.12,80.41,2.98,76.13,45.89,31737.37,23373.16,13018.64
2017-10-26,19.5,70.0,0.08,63.07,40.43,30602.58,24620.54,12781.84
2017-10-27,19.02,65.49,3.05,106.21,54.68,29697.24,24170.36,12669.58
2017-10-28,16.95,77.7,4.92,158.87,28.78,29818.73,23860.24,12437.61
2017-10-29,18.2,79.04,4.92,107.92,56.53,28570.2,21305.26,12165.11
2017-10-30,18.87,81.79,3.68,68.06,56.45,30251.47,23985.19,12014.71
2017-10-31,19.17,70.86,0.08,28.9,24.5,30503.98,24526.01,12193.07
2017-11-01,18.61,48.49,0.08,138.36,115.26,30039.96,24413.61,12124.42
2017-11-02,20.07,56.88,0.08,139.3,120.47,29621.24,24091.12,12309.08
2017-11-03,17.68,76.08,0.08,117.34,103.42,29287.22,23955.45,12181.77
2017-11-04,17.82,75.28,0.08,149.04,146.24,29196.32,23814.2,12418.27
2017-11-05,18.54,77.91,0.07,148.61,152.57,27486.84,21146.57,12042.17
2017-11-06,19.83,74.32,0.07,147.61,149.21,28511.28,21899.66,11877.59
2017-11-07,20.44,72.18,0.07,102.75,92.73,29294.74,23334.74,11958.67
2017-11-08,20.2,74.97,0.07,122.03,93.04,28987.95,23731.9,14566.75
2017-11-09,18.92,80.47,0.07,88.19,71.53,29138.12,23827.79,15358.31
2017-11-10,18.07,76.89,0.07,131.67,74.42,28797.09,23219.71,14345.7
2017-11-11,19.13,69.55,0.07,108.12,86.24,28211.88,22879.49,12098.92
2017-11-12,17.8,71.78,0.07,119.26,63.82,27206.67,20463.4,14752.37
2017-11-13,19.5,64.84,0.07,141.0,42.01,29159.02,23331.82,15423.65
2017-11-14,18.33,73.57,0.07,130.51,42.4,29069.53,23484.53,15522.45
2017-11-15,17.29,72.31,0.08,129.16,49.47,29751.5,23461.49,13779.76
2017-11-16,16.1,73.14,0.08,131.21,41.67,30065.04,22906.97,15213.86
2017-11-17,15.26,76.16,0.08,76.49,57.42,28701.79,22936.75,15813.94
2017-11-18,15.36,81.35,3.33,131.7,36.14,28371.2,20991.71,15763.9
2017-11-19,15.19,75.86,3.67,127.39,38.32,27354.91,20646.02,12332.33
2017-11-20,17.41,59.23,0.08,108.52,37.19,29020.51,23842.95,11789.24
2017-11-21,13.49,50.96,1.97,132.55,22.33,29386.84,24025.08,11619.16
2017-11-22,12.21,64.8,4.43,101.66,42.53,29260.47,23749.43,11660.0
2017-11-23,10.32,69.8,4.8,117.18,33.38,29270.68,23583.63,11560.96
2017-11-24,13.41,56.93,4.64,124.02,24.22,28769.7,23852.38,11231.41
2017-11-25,17.32,57.76,1.5,128.42,22.23,28772.09,23594.83,11341.08
